"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,5.5,4.7,3.78571428571429,3.20833333333333,0.583333333333334,2.03333333333333,6,2.83333333333333,0.0999999999999996,1.875,2.98333333333333,5.5,5.53571428571429,5,4.525,2.04545454545455,5.10714285714286,5.55,5.61538461538461,1.9375,5.5,5.48701298701299,6,3.03333333333333,5.8,2.03333333333333,1.8,1.875,5.625
"2",5.5,0,2.6875,5.6,5.5,5.59722222222222,5.5,1.875,5.39583333333333,6,5.8,5.42222222222222,2.79365079365079,2.58888888888889,3.35714285714286,4.5,5.39393939393939,3.85714285714286,3.75,4.66666666666667,4.76666666666667,3.4,2.375,2.75,5.5,3.39285714285714,5.13333333333333,4.74603174603175,4.75757575757576,4.875
"3",4.7,2.6875,0,5.75,5,5.225,5.1,1.85416666666667,5.6,5.36538461538461,2.7,5.45,2.1875,1.76666666666667,1.41666666666667,3.41666666666667,5.75,4.55,3.83333333333333,3.63333333333333,6,1.25,3.61904761904762,2.36111111111111,5.72321428571429,3.89285714285714,5.75,5.66666666666667,6,4.25
"4",3.78571428571429,5.6,5.75,0,3.35714285714286,4.125,3,4.66666666666667,2.75,3.18571428571429,3.45833333333333,3.35714285714286,6,5.59821428571429,5.5,6,3.68333333333333,5.41666666666667,5.33333333333333,5.40178571428571,2.75,5.575,5.51948051948052,5.71428571428571,3,5.0625,3.375,4,2.875,5.6
"5",3.20833333333333,5.5,5,3.35714285714286,0,2.875,3,5.16666666666667,1.41477272727273,2.9,3.10714285714286,2.70833333333333,5.05357142857143,5.36666666666667,4.975,5.77777777777778,1.76785714285714,5.06818181818182,4.79166666666667,6,2.33333333333333,5,5.3125,5.54166666666667,0.4375,4.66666666666667,3.07142857142857,1.625,2.82142857142857,5.5
"6",0.583333333333334,5.59722222222222,5.225,4.125,2.875,0,1.90909090909091,5.875,2.61904761904762,0.607142857142858,1.5,2.29292929292929,5.8125,5.5,4.83333333333333,5.625,1.40476190476191,4.5,5.33928571428571,5.42857142857143,2.0625,5.91666666666667,4.9,5,1.75,5.25,2.375,1.94047619047619,2.91666666666667,5.5
"7",2.03333333333333,5.5,5.1,3,3,1.90909090909091,0,5.1,3.375,1.9,2.5375,1.8625,5.7,5.275,5.4,5.57142857142857,1.54761904761905,5.13333333333333,5.375,5.70833333333333,1.16666666666667,5.23333333333333,5.5,5.66666666666667,2.875,4.28333333333333,2.45833333333333,2.625,1.875,5
"8",6,1.875,1.85416666666667,4.66666666666667,5.16666666666667,5.875,5.1,0,5.53333333333333,4.67142857142857,5.9375,4.91428571428571,3.33333333333333,2.16666666666667,2,4.25,5.375,4.16666666666667,5.6,3.91666666666667,5.49107142857143,2.66666666666667,2.23076923076923,1.35,4.77777777777778,4.32222222222222,5.22222222222222,5.1,5.30952380952381,4.875
"9",2.83333333333333,5.39583333333333,5.6,2.75,1.41477272727273,2.61904761904762,3.375,5.53333333333333,0,3.575,3.41666666666667,2.175,5.78571428571429,5.25,5.00892857142857,5.9,1.66666666666667,4.79166666666667,6,5.64285714285714,2.75,5.23333333333333,5.41666666666667,5.33333333333333,0.833333333333334,5.38888888888889,2.54464285714286,3.9,2.9,5.41666666666667
"10",0.0999999999999996,6,5.36538461538461,3.18571428571429,2.9,0.607142857142858,1.9,4.67142857142857,3.575,0,1.64285714285714,2.83333333333333,5.4,6,2.9,5.15,0.75,4.9375,5.75,5.25,2.5,5.2,5,5.5125,2.14285714285714,6,2.58333333333333,1.75,2.08333333333333,5.8
"11",1.875,5.8,2.7,3.45833333333333,3.10714285714286,1.5,2.5375,5.9375,3.41666666666667,1.64285714285714,0,1.95,5.75,4.85714285714286,5.7,5.85,3.85,5.28333333333333,5.7,5.5,2.64285714285714,5.54166666666667,6,6,2.74107142857143,5.7,2.25,2.36666666666667,2.33333333333333,5.94444444444444
"12",2.98333333333333,5.42222222222222,5.45,3.35714285714286,2.70833333333333,2.29292929292929,1.8625,4.91428571428571,2.175,2.83333333333333,1.95,0,5.4375,6,5.75,6,1.08333333333333,6,5.88888888888889,5.125,2.0625,5.77777777777778,4.89393939393939,5.5,2.33333333333333,4.54166666666667,2.725,2.3,1.2,5.85714285714286
"13",5.5,2.79365079365079,2.1875,6,5.05357142857143,5.8125,5.7,3.33333333333333,5.78571428571429,5.4,5.75,5.4375,0,4.08333333333333,2.75,3.6,5.65,4.36428571428571,4.08333333333333,4.38888888888889,5.125,3.3,3.42857142857143,2.54545454545455,5.47916666666667,4.8,5.5,6,5.61111111111111,3.79166666666667
"14",5.53571428571429,2.58888888888889,1.76666666666667,5.59821428571429,5.36666666666667,5.5,5.275,2.16666666666667,5.25,6,4.85714285714286,6,4.08333333333333,0,1.88571428571429,4.55357142857143,5.7,1.575,4.66666666666667,4.125,5.625,2.98333333333333,2.11805555555556,3.9375,5.5,2.37142857142857,5.82857142857143,5.5,5.55,4.625
"15",5,3.35714285714286,1.41666666666667,5.5,4.975,4.83333333333333,5.4,2,5.00892857142857,2.9,5.7,5.75,2.75,1.88571428571429,0,4.09090909090909,5.375,2.6875,4.5,4.3,5.39285714285714,2.4375,3.09090909090909,4.71428571428571,4.47619047619048,3.6,2.75,5.7,5.73333333333333,4.44047619047619
"16",4.525,4.5,3.41666666666667,6,5.77777777777778,5.625,5.57142857142857,4.25,5.9,5.15,5.85,6,3.6,4.55357142857143,4.09090909090909,0,5.5,4.91666666666667,3.91666666666667,4.92857142857143,5.70833333333333,4.52222222222222,5.03174603174603,4.16666666666667,4.96428571428571,4.20833333333333,4.8,5.35714285714286,5,1.83653846153846
"17",2.04545454545455,5.39393939393939,5.75,3.68333333333333,1.76785714285714,1.40476190476191,1.54761904761905,5.375,1.66666666666667,0.75,3.85,1.08333333333333,5.65,5.7,5.375,5.5,0,5.32142857142857,5.58333333333333,5.58333333333333,1.14285714285714,6,5.92857142857143,5.18055555555556,1.79166666666667,4.625,2.25,1.6,1,5.8125
"18",5.10714285714286,3.85714285714286,4.55,5.41666666666667,5.06818181818182,4.5,5.13333333333333,4.16666666666667,4.79166666666667,4.9375,5.28333333333333,6,4.36428571428571,1.575,2.6875,4.91666666666667,5.32142857142857,0,4.95833333333333,4.72619047619048,5.75,3.29487179487179,3.41666666666667,3.8125,5.3125,2.625,5.78571428571429,5.5,5.85,4.975
"19",5.55,3.75,3.83333333333333,5.33333333333333,4.79166666666667,5.33928571428571,5.375,5.6,6,5.75,5.7,5.88888888888889,4.08333333333333,4.66666666666667,4.5,3.91666666666667,5.58333333333333,4.95833333333333,0,3.2,5.4,5.16666666666667,4.79365079365079,4.175,6,4.08333333333333,5.625,5.875,5.58035714285714,4.3625
"20",5.61538461538461,4.66666666666667,3.63333333333333,5.40178571428571,6,5.42857142857143,5.70833333333333,3.91666666666667,5.64285714285714,5.25,5.5,5.125,4.38888888888889,4.125,4.3,4.92857142857143,5.58333333333333,4.72619047619048,3.2,0,5.22222222222222,5.25,5.275,4.66666666666667,5.5,3.35,6,4.91666666666667,5.75,4.37142857142857
"21",1.9375,4.76666666666667,6,2.75,2.33333333333333,2.0625,1.16666666666667,5.49107142857143,2.75,2.5,2.64285714285714,2.0625,5.125,5.625,5.39285714285714,5.70833333333333,1.14285714285714,5.75,5.4,5.22222222222222,0,5.57142857142857,5.5,5.75,3.32142857142857,4.97619047619048,2.2,2.14285714285714,2.75,5.20833333333333
"22",5.5,3.4,1.25,5.575,5,5.91666666666667,5.23333333333333,2.66666666666667,5.23333333333333,5.2,5.54166666666667,5.77777777777778,3.3,2.98333333333333,2.4375,4.52222222222222,6,3.29487179487179,5.16666666666667,5.25,5.57142857142857,0,2.95,2.125,5.3125,3.96666666666667,6,5.58333333333333,5.5625,3.71428571428571
"23",5.48701298701299,2.375,3.61904761904762,5.51948051948052,5.3125,4.9,5.5,2.23076923076923,5.41666666666667,5,6,4.89393939393939,3.42857142857143,2.11805555555556,3.09090909090909,5.03174603174603,5.92857142857143,3.41666666666667,4.79365079365079,5.275,5.5,2.95,0,3.90909090909091,5.04761904761905,2.69047619047619,5.76190476190476,5.5,4.525,4.75
"24",6,2.75,2.36111111111111,5.71428571428571,5.54166666666667,5,5.66666666666667,1.35,5.33333333333333,5.5125,6,5.5,2.54545454545455,3.9375,4.71428571428571,4.16666666666667,5.18055555555556,3.8125,4.175,4.66666666666667,5.75,2.125,3.90909090909091,0,5.28571428571429,3.08333333333333,5.15,4.75,5.5,3.35064935064935
"25",3.03333333333333,5.5,5.72321428571429,3,0.4375,1.75,2.875,4.77777777777778,0.833333333333334,2.14285714285714,2.74107142857143,2.33333333333333,5.47916666666667,5.5,4.47619047619048,4.96428571428571,1.79166666666667,5.3125,6,5.5,3.32142857142857,5.3125,5.04761904761905,5.28571428571429,0,5.41666666666667,2.20833333333333,2.4375,2.25,6
"26",5.8,3.39285714285714,3.89285714285714,5.0625,4.66666666666667,5.25,4.28333333333333,4.32222222222222,5.38888888888889,6,5.7,4.54166666666667,4.8,2.37142857142857,3.6,4.20833333333333,4.625,2.625,4.08333333333333,3.35,4.97619047619048,3.96666666666667,2.69047619047619,3.08333333333333,5.41666666666667,0,6,5.5625,5.5,4.21428571428571
"27",2.03333333333333,5.13333333333333,5.75,3.375,3.07142857142857,2.375,2.45833333333333,5.22222222222222,2.54464285714286,2.58333333333333,2.25,2.725,5.5,5.82857142857143,2.75,4.8,2.25,5.78571428571429,5.625,6,2.2,6,5.76190476190476,5.15,2.20833333333333,6,0,2.25454545454545,2.3,5.25
"28",1.8,4.74603174603175,5.66666666666667,4,1.625,1.94047619047619,2.625,5.1,3.9,1.75,2.36666666666667,2.3,6,5.5,5.7,5.35714285714286,1.6,5.5,5.875,4.91666666666667,2.14285714285714,5.58333333333333,5.5,4.75,2.4375,5.5625,2.25454545454545,0,0.75,6
"29",1.875,4.75757575757576,6,2.875,2.82142857142857,2.91666666666667,1.875,5.30952380952381,2.9,2.08333333333333,2.33333333333333,1.2,5.61111111111111,5.55,5.73333333333333,5,1,5.85,5.58035714285714,5.75,2.75,5.5625,4.525,5.5,2.25,5.5,2.3,0.75,0,5.60714285714286
"30",5.625,4.875,4.25,5.6,5.5,5.5,5,4.875,5.41666666666667,5.8,5.94444444444444,5.85714285714286,3.79166666666667,4.625,4.44047619047619,1.83653846153846,5.8125,4.975,4.3625,4.37142857142857,5.20833333333333,3.71428571428571,4.75,3.35064935064935,6,4.21428571428571,5.25,6,5.60714285714286,0
